dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,psnr,ssim,lpips,success,jpeg_cosine,blur_cosine,resize_cosine,relaxed_success,runtime_sec
LFW,lfw_07108,Joe Friedberg,0,Random Noise,0.047058823529411764,35,0.125,0.9912570714950562,34.74166906919227,0.9137333640030448,0.1273748129606247,False,0.9890384078025818,0.9947295188903809,0.995063304901123,False,0.0035063624382019043
LFW,lfw_03731,Christopher Amolsch,0,Random Noise,0.047058823529411764,35,0.125,0.995458722114563,34.76531937236463,0.9066996745281465,0.1439465582370758,False,0.9949742555618286,0.9963033199310303,0.9972005486488342,False,0.0035063624382019043
LFW,lfw_07277,George W Bush,0,Random Noise,0.047058823529411764,35,0.125,0.993046760559082,34.75505462380512,0.8859731086491142,0.20066103339195251,False,0.9920718669891357,0.9947405457496643,0.9955971240997314,False,0.0035063624382019043
LFW,lfw_02032,Na Na Keum,0,Random Noise,0.047058823529411764,35,0.125,0.9856263399124146,34.7850396969425,0.8759194953498626,0.24547865986824036,False,0.976746678352356,0.9884060621261597,0.9897241592407227,False,0.0035063624382019043
LFW,lfw_02352,George W Bush,0,Random Noise,0.047058823529411764,35,0.125,0.9893450736999512,34.75372632636878,0.9106711724544799,0.21161021292209625,False,0.9887844324111938,0.9964820742607117,0.9947164058685303,False,0.0035063624382019043
LFW,lfw_07365,Carla Del Ponte,0,Random Noise,0.047058823529411764,35,0.125,0.9866387844085693,34.75372188721257,0.8980000150384368,0.20681875944137573,False,0.9890812635421753,0.9887776970863342,0.9935466647148132,False,0.0035063624382019043
LFW,lfw_04017,Mary Bono,0,Random Noise,0.047058823529411764,35,0.125,0.9914491772651672,34.735331306183255,0.8716071845114559,0.1848839372396469,False,0.9854844808578491,0.9900386333465576,0.9935043454170227,False,0.0035063624382019043
LFW,lfw_07059,Paul Bremer,0,Random Noise,0.047058823529411764,35,0.125,0.9921560883522034,34.7789524770895,0.8943777058609589,0.19817626476287842,False,0.9876358509063721,0.9956623911857605,0.9959661960601807,False,0.0035063624382019043
LFW,lfw_12389,Paul Wolfowitz,0,Random Noise,0.047058823529411764,35,0.125,0.9845414757728577,34.767893458674514,0.8690923730101461,0.24511496722698212,False,0.9786882400512695,0.989635169506073,0.9905985593795776,False,4.5925378799438477e-05
LFW,lfw_03109,Tom Daschle,0,Random Noise,0.047058823529411764,35,0.125,0.9925292134284973,34.77402365504076,0.9110447584235439,0.19443576037883759,False,0.9910419583320618,0.9871504306793213,0.9956809282302856,False,4.5925378799438477e-05
LFW,lfw_11383,Michael Jackson,0,Random Noise,0.047058823529411764,35,0.125,0.9556387662887573,34.75182479952213,0.8568150478123558,0.33770614862442017,False,0.9108108282089233,0.9884384274482727,0.970611035823822,False,4.5925378799438477e-05
LFW,lfw_00012,John Cusack,0,Random Noise,0.047058823529411764,35,0.125,0.9930466413497925,34.783665825080575,0.8834286567248717,0.2377224713563919,False,0.9895658493041992,0.9963998794555664,0.9955775737762451,False,4.5925378799438477e-05
LFW,lfw_06212,Tony Blair,0,Random Noise,0.047058823529411764,35,0.125,0.9689412117004395,34.76255407994476,0.84118709565251,0.34365007281303406,False,0.951754093170166,0.9842923283576965,0.9767675399780273,False,4.5925378799438477e-05
LFW,lfw_03491,Tony Blair,0,Random Noise,0.047058823529411764,35,0.125,0.9839880466461182,34.75697906201011,0.8658287760958081,0.26957759261131287,False,0.9786189198493958,0.9943972826004028,0.9907499551773071,False,4.5925378799438477e-05
LFW,lfw_12042,Laura Bush,0,Random Noise,0.047058823529411764,35,0.125,0.9891173839569092,34.74084279740072,0.8931711094996695,0.1584378480911255,False,0.986005961894989,0.9932852387428284,0.9921092987060547,False,4.5925378799438477e-05
LFW,lfw_00358,Norah Jones,0,Random Noise,0.047058823529411764,35,0.125,0.9870955944061279,34.73203884222316,0.8864653575947994,0.1753658503293991,False,0.9813623428344727,0.9937213659286499,0.9905905723571777,False,4.5925378799438477e-05
LFW,lfw_01449,Shinya Taniguchi,0,Random Noise,0.047058823529411764,35,0.125,0.9715877771377563,34.77071382577381,0.870799278765524,0.27390730381011963,False,0.9671493768692017,0.9966801404953003,0.9839118719100952,False,5.120038986206055e-05
