dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,psnr,ssim,lpips,success,jpeg_cosine,blur_cosine,resize_cosine,relaxed_success,runtime_sec
LFW,lfw_07108,Joe Friedberg,0,FaceGuard,0.047058823529411764,35,0.125,-0.948511004447937,32.65571055446385,0.8924217737032031,0.18477007746696472,True,-0.9118971824645996,-0.8828316926956177,-0.9422920942306519,True,1.419853925704956
LFW,lfw_03731,Christopher Amolsch,0,FaceGuard,0.047058823529411764,35,0.125,-0.9466871023178101,32.867272140585555,0.8816549978511352,0.21525326371192932,True,-0.9310822486877441,-0.8676804304122925,-0.9385616779327393,True,1.419853925704956
LFW,lfw_07277,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9248011112213135,32.96017034906135,0.8636349452286024,0.23817943036556244,True,-0.8905657529830933,-0.8909481763839722,-0.9169727563858032,True,1.419853925704956
LFW,lfw_02032,Na Na Keum,0,FaceGuard,0.047058823529411764,35,0.125,-0.876673698425293,33.165206985997756,0.8565805155672771,0.28956717252731323,True,-0.8368164300918579,-0.8349730968475342,-0.8716021776199341,True,1.419853925704956
LFW,lfw_02352,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9336479306221008,32.60701218191416,0.8852156314986029,0.27807244658470154,True,-0.8836681842803955,-0.7796953916549683,-0.922832727432251,True,1.419853925704956
LFW,lfw_07365,Carla Del Ponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.906385064125061,33.132806693185316,0.8794761617662776,0.2821412980556488,True,-0.8626468181610107,-0.8353670835494995,-0.899107813835144,True,1.419853925704956
LFW,lfw_04017,Mary Bono,0,FaceGuard,0.047058823529411764,35,0.125,-0.9334491491317749,33.07327082752807,0.8542030571970138,0.24442429840564728,True,-0.8580212593078613,-0.8587473630905151,-0.9245352745056152,True,1.419853925704956
LFW,lfw_07059,Paul Bremer,0,FaceGuard,0.047058823529411764,35,0.125,-0.9313737154006958,32.71347261546684,0.8684703943625797,0.29690873622894287,True,-0.9019553661346436,-0.8675850629806519,-0.9176768064498901,True,1.419853925704956
LFW,lfw_12389,Paul Wolfowitz,0,FaceGuard,0.047058823529411764,35,0.125,-0.9109864234924316,33.35012099558738,0.8485026259833641,0.2866807281970978,True,-0.9032025337219238,-0.8758358359336853,-0.9124458432197571,True,1.4296579658985138
LFW,lfw_03109,Tom Daschle,0,FaceGuard,0.047058823529411764,35,0.125,-0.8909592628479004,33.01828558486447,0.8905454184605975,0.3026670515537262,True,-0.821883499622345,-0.7750928401947021,-0.8816846609115601,True,1.4296579658985138
LFW,lfw_11383,Michael Jackson,0,FaceGuard,0.047058823529411764,35,0.125,-0.8855044841766357,33.2641340667513,0.8374721552532162,0.39301949739456177,True,-0.7620571851730347,-0.7803739309310913,-0.8697154521942139,True,1.4296579658985138
LFW,lfw_00012,John Cusack,0,FaceGuard,0.047058823529411764,35,0.125,-0.9379125237464905,33.090186378706534,0.8628594936527166,0.31951889395713806,True,-0.8948688507080078,-0.877259373664856,-0.9338304400444031,True,1.4296579658985138
LFW,lfw_06212,Tony Blair,0,FaceGuard,0.047058823529411764,35,0.125,-0.9356788992881775,33.42719529042518,0.8209054738225259,0.38735470175743103,True,-0.8918266296386719,-0.8906409740447998,-0.9275204539299011,True,1.4296579658985138
LFW,lfw_03491,Tony Blair,0,FaceGuard,0.047058823529411764,35,0.125,-0.9303041696548462,33.35397566453085,0.8464453874179609,0.34337013959884644,True,-0.8957560658454895,-0.864059567451477,-0.9197115898132324,True,1.4296579658985138
LFW,lfw_12042,Laura Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9410521984100342,33.091281674743044,0.875947956165157,0.21933823823928833,True,-0.8431555032730103,-0.857038676738739,-0.9309288859367371,True,1.4296579658985138
LFW,lfw_00358,Norah Jones,0,FaceGuard,0.047058823529411764,35,0.125,-0.9302103519439697,32.755111267860165,0.8657741959816528,0.23843950033187866,True,-0.8869270086288452,-0.8706755042076111,-0.9228163957595825,True,1.4296579658985138
LFW,lfw_01449,Shinya Taniguchi,0,FaceGuard,0.047058823529411764,35,0.125,-0.9600383043289185,33.01614762242456,0.8476167233248965,0.34366071224212646,True,-0.9416615962982178,-0.9096211791038513,-0.9545871019363403,True,1.4545362293720245
LFW,lfw_11278,Donald Rumsfeld,0,FaceGuard,0.047058823529411764,35,0.125,-0.9258207678794861,32.85835178831925,0.8733374911284653,0.31403064727783203,True,-0.885604977607727,-0.8308413624763489,-0.9009169936180115,True,1.4545362293720245
LFW,lfw_01820,Conan OBrien,0,FaceGuard,0.047058823529411764,35,0.125,-0.9323428273200989,33.14635171068381,0.8661244652532174,0.27217355370521545,True,-0.9038656949996948,-0.9110012650489807,-0.9228788614273071,True,1.4545362293720245
LFW,lfw_02248,Pedro Martinez,0,FaceGuard,0.047058823529411764,35,0.125,-0.9269081950187683,33.334431374433066,0.846864287917917,0.37768882513046265,True,-0.8971383571624756,-0.9085521697998047,-0.9261450171470642,True,1.4545362293720245
LFW,lfw_02556,Maria Sanchez Lorenzo,0,FaceGuard,0.047058823529411764,35,0.125,-0.9298943877220154,33.43565856684477,0.8385897947319125,0.32412371039390564,True,-0.902198851108551,-0.8686105608940125,-0.9199084043502808,True,1.4545362293720245
LFW,lfw_01754,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9458154439926147,33.33181165307665,0.8274477933824613,0.3569563329219818,True,-0.9151300191879272,-0.8811407089233398,-0.9325158596038818,True,1.4545362293720245
LFW,lfw_12211,Arnold Schwarzenegger,0,FaceGuard,0.047058823529411764,35,0.125,-0.9451853632926941,33.30553456027261,0.8597337347150084,0.2652279734611511,True,-0.9161341190338135,-0.8908116221427917,-0.9383407831192017,True,1.4545362293720245
LFW,lfw_03454,Gregorio Honasan,0,FaceGuard,0.047058823529411764,35,0.125,-0.8704727292060852,32.79225913841006,0.8736122471591455,0.24215838313102722,True,-0.7892214059829712,-0.7399280071258545,-0.8522104620933533,True,1.4545362293720245
LFW,lfw_07819,Tariq Aziz,0,FaceGuard,0.047058823529411764,35,0.125,-0.9487393498420715,33.3350655034629,0.8889062046320487,0.23500902950763702,True,-0.9318407773971558,-0.9244958162307739,-0.9425749778747559,True,1.431911677122116
LFW,lfw_08555,Guus Hiddink,0,FaceGuard,0.047058823529411764,35,0.125,-0.8587849140167236,33.00122272406983,0.8265817665561815,0.36525759100914,True,-0.7829048037528992,-0.7194402813911438,-0.8371880054473877,True,1.431911677122116
LFW,lfw_07951,Betsy Coffin,0,FaceGuard,0.047058823529411764,35,0.125,-0.9195907115936279,32.95452464203108,0.8649029000508547,0.3437660336494446,True,-0.8782184720039368,-0.8473225831985474,-0.9029390811920166,True,1.431911677122116
LFW,lfw_09503,Angelina Jolie,0,FaceGuard,0.047058823529411764,35,0.125,-0.9580053687095642,33.13128998168238,0.8763940121247108,0.24363064765930176,True,-0.913597047328949,-0.8710973262786865,-0.9475548267364502,True,1.431911677122116
LFW,lfw_07557,Tom Ridge,0,FaceGuard,0.047058823529411764,35,0.125,-0.9089450240135193,32.953748102968,0.8471031804073567,0.2704504430294037,True,-0.846084713935852,-0.7712773084640503,-0.8987233638763428,True,1.431911677122116
LFW,lfw_11893,Jean Carnahan,0,FaceGuard,0.047058823529411764,35,0.125,-0.9119130373001099,33.316583169414514,0.8297645022596347,0.36689162254333496,True,-0.8661181926727295,-0.8481486439704895,-0.90630042552948,True,1.431911677122116
LFW,lfw_02745,Steve Nesbitt,0,FaceGuard,0.047058823529411764,35,0.125,-0.9119594097137451,32.60215476363204,0.8613044336836243,0.26226937770843506,True,-0.8521188497543335,-0.8234031796455383,-0.8983762264251709,True,1.431911677122116
LFW,lfw_04962,Recep Tayyip Erdogan,0,FaceGuard,0.047058823529411764,35,0.125,-0.9083825349807739,32.96747550450429,0.8727101631067171,0.28491872549057007,True,-0.8627156615257263,-0.8320860862731934,-0.8933660387992859,True,1.431911677122116
LFW,lfw_04432,Penny Lancaster,0,FaceGuard,0.047058823529411764,35,0.125,-0.897460401058197,33.43530309584488,0.8333817173700622,0.4002569615840912,True,-0.7390165328979492,-0.7654933929443359,-0.8753262758255005,True,1.403096854686737
LFW,lfw_09660,Tony Blair,0,FaceGuard,0.047058823529411764,35,0.125,-0.9331315755844116,33.145537912023755,0.8524711865730824,0.3003382682800293,True,-0.8837569355964661,-0.840652346611023,-0.9288781881332397,True,1.403096854686737
LFW,lfw_00609,Colin Powell,0,FaceGuard,0.047058823529411764,35,0.125,-0.8756071925163269,32.900552635475066,0.8572429806911456,0.28185999393463135,True,-0.8094939589500427,-0.7519897222518921,-0.868645966053009,True,1.403096854686737
LFW,lfw_11070,Sergio Vieira De Mello,0,FaceGuard,0.047058823529411764,35,0.125,-0.923162579536438,33.34799946661386,0.8286385749713139,0.27781572937965393,True,-0.885581374168396,-0.854293704032898,-0.9183303713798523,True,1.403096854686737
LFW,lfw_11408,Andre Bucher,0,FaceGuard,0.047058823529411764,35,0.125,-0.874017596244812,32.97509932708457,0.8865585825956148,0.22669851779937744,True,-0.8153613805770874,-0.7792407274246216,-0.8519762754440308,True,1.403096854686737
LFW,lfw_07482,Mitar Rasevic,0,FaceGuard,0.047058823529411764,35,0.125,-0.9051532745361328,32.83788413367294,0.8560305778653733,0.2568340003490448,True,-0.8582867383956909,-0.8363032937049866,-0.8864527344703674,True,1.403096854686737
LFW,lfw_08233,Maribel Dominguez,0,FaceGuard,0.047058823529411764,35,0.125,-0.8993803262710571,32.853119246934625,0.8833291295804608,0.33998310565948486,True,-0.8225364685058594,-0.7932583093643188,-0.8754395246505737,True,1.403096854686737
LFW,lfw_11839,Guillermo Coria,0,FaceGuard,0.047058823529411764,35,0.125,-0.959179162979126,33.06042657203575,0.8766844450551211,0.24559658765792847,True,-0.9278563857078552,-0.9020438194274902,-0.9537007212638855,True,1.403096854686737
LFW,lfw_06094,Florencia Kirchner,0,FaceGuard,0.047058823529411764,35,0.125,-0.9132730960845947,33.5123161155049,0.836715140048169,0.3189523220062256,True,-0.8495081067085266,-0.8637428283691406,-0.9197357892990112,True,1.3868608176708221
LFW,lfw_07567,Jennifer Aniston,0,FaceGuard,0.047058823529411764,35,0.125,-0.9159027934074402,33.1203184722597,0.8574328345059917,0.33838605880737305,True,-0.8769938945770264,-0.8732782602310181,-0.9050476551055908,True,1.3868608176708221
LFW,lfw_01217,Art Hoffmann,0,FaceGuard,0.047058823529411764,35,0.125,-0.9033421277999878,33.12311873595461,0.8655266155405722,0.3169881999492645,True,-0.8704866766929626,-0.841224193572998,-0.8982319831848145,True,1.3868608176708221
LFW,lfw_12576,Geraldine Chaplin,0,FaceGuard,0.047058823529411764,35,0.125,-0.8608233332633972,33.461163017977704,0.8621515119901177,0.29513612389564514,True,-0.832571268081665,-0.8358591794967651,-0.8551681041717529,True,1.3868608176708221
LFW,lfw_03057,Cameron Diaz,0,FaceGuard,0.047058823529411764,35,0.125,-0.8892642259597778,33.03798088162027,0.8683579522577908,0.3114732503890991,True,-0.8475512266159058,-0.8209227323532104,-0.8802080154418945,True,1.3868608176708221
LFW,lfw_03122,Nestor Kirchner,0,FaceGuard,0.047058823529411764,35,0.125,-0.9390823245048523,33.12545322421299,0.858335945076544,0.23727227747440338,True,-0.9004251956939697,-0.8927664756774902,-0.9316227436065674,True,1.3868608176708221
LFW,lfw_05517,Michael Moore,0,FaceGuard,0.047058823529411764,35,0.125,-0.9382500052452087,33.30116351422392,0.8530951541094242,0.3159814476966858,True,-0.9123493432998657,-0.9033869504928589,-0.9367643594741821,True,1.3868608176708221
LFW,lfw_10207,Anil Ramsook,0,FaceGuard,0.047058823529411764,35,0.125,-0.9197569489479065,33.15654577591295,0.8624941495859967,0.301156222820282,True,-0.889266848564148,-0.8179164528846741,-0.9191596508026123,True,1.3868608176708221
LFW,lfw_10596,Jenny Romero,0,FaceGuard,0.047058823529411764,35,0.125,-0.9169578552246094,33.12170083328241,0.8473234845912625,0.3297043442726135,True,-0.8611619472503662,-0.8380879163742065,-0.9055771827697754,True,1.4027239978313446
LFW,lfw_06024,Don Siegelman,0,FaceGuard,0.047058823529411764,35,0.125,-0.9415569305419922,33.09821295373873,0.8563482188775827,0.2348419427871704,True,-0.8730340003967285,-0.8578060269355774,-0.929658055305481,True,1.4027239978313446
LFW,lfw_02654,Gonzalo Sanchez de Lozada,0,FaceGuard,0.047058823529411764,35,0.125,-0.9476528167724609,33.16485945484851,0.8588933425962653,0.29735177755355835,True,-0.907092273235321,-0.8721508979797363,-0.9320307374000549,True,1.4027239978313446
LFW,lfw_07987,Serena Williams,0,FaceGuard,0.047058823529411764,35,0.125,-0.902547299861908,33.052210015656485,0.8852529519093375,0.24408020079135895,True,-0.8351848125457764,-0.8169964551925659,-0.8925310373306274,True,1.4027239978313446
LFW,lfw_12153,John Negroponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.9168729782104492,33.060233702048706,0.8563518262096789,0.2965433597564697,True,-0.8842805624008179,-0.8646813631057739,-0.9074742794036865,True,1.4027239978313446
LFW,lfw_08687,Leander Paes,0,FaceGuard,0.047058823529411764,35,0.125,-0.9009568691253662,32.464237887945586,0.864336533051282,0.19757749140262604,True,-0.8305879831314087,-0.8023097515106201,-0.883209228515625,True,1.4027239978313446
LFW,lfw_08114,James Blake,0,FaceGuard,0.047058823529411764,35,0.125,-0.9183295965194702,33.34201983120757,0.8437020358838506,0.3220304846763611,True,-0.894633412361145,-0.8551458716392517,-0.9089134335517883,True,1.4027239978313446
LFW,lfw_09510,Wilma McNabb,0,FaceGuard,0.047058823529411764,35,0.125,-0.9184950590133667,33.128850834177165,0.8708019521094538,0.3249708414077759,True,-0.8877789378166199,-0.8579650521278381,-0.9013023972511292,True,1.4027239978313446
LFW,lfw_04572,Mitchell Daniels,0,FaceGuard,0.047058823529411764,35,0.125,-0.7868705987930298,32.584101398310935,0.8623473746239427,0.2888668477535248,True,-0.7002407312393188,-0.6500629186630249,-0.7668026685714722,True,1.4002636671066284
LFW,lfw_02831,Mike Slive,0,FaceGuard,0.047058823529411764,35,0.125,-0.9446381330490112,33.07887932837118,0.8329913909319121,0.35111090540885925,True,-0.9000821113586426,-0.8544816970825195,-0.9254292249679565,True,1.4002636671066284
LFW,lfw_07235,Martin McGuinness,0,FaceGuard,0.047058823529411764,35,0.125,-0.9076849222183228,33.21597286686607,0.844739696821854,0.3693510890007019,True,-0.8608015775680542,-0.8194382190704346,-0.9002422094345093,True,1.4002636671066284
LFW,lfw_12967,Alan Trammell,0,FaceGuard,0.047058823529411764,35,0.125,-0.8574167490005493,33.01423909411467,0.8508561253868372,0.3023929297924042,True,-0.7833354473114014,-0.7579765319824219,-0.8362838625907898,True,1.4002636671066284
LFW,lfw_07493,John Bolton,0,FaceGuard,0.047058823529411764,35,0.125,-0.9006465077400208,32.9535539790493,0.8844119317086846,0.221437007188797,True,-0.9011201858520508,-0.8630467653274536,-0.8952898979187012,True,1.4002636671066284
LFW,lfw_12765,Roger King,0,FaceGuard,0.047058823529411764,35,0.125,-0.9216978549957275,33.014539227099455,0.8905224425662791,0.2405172884464264,True,-0.8763430714607239,-0.8544082045555115,-0.9157884120941162,True,1.4002636671066284
LFW,lfw_06922,Brian De Palma,0,FaceGuard,0.047058823529411764,35,0.125,-0.9065269231796265,33.077457648327886,0.8757014949074821,0.2628326714038849,True,-0.8931567668914795,-0.8260930776596069,-0.9003951549530029,True,1.4002636671066284
LFW,lfw_00378,Stanislas Wawrinka,0,FaceGuard,0.047058823529411764,35,0.125,-0.9143781661987305,32.72094829012504,0.8715684615033128,0.26940643787384033,True,-0.8450239896774292,-0.7908807396888733,-0.8936047554016113,True,1.4002636671066284
LFW,lfw_03570,Troy Jenkins,0,FaceGuard,0.047058823529411764,35,0.125,-0.9222431182861328,33.15618455628998,0.8321467552759882,0.32785093784332275,True,-0.8637490272521973,-0.8239898085594177,-0.9106992483139038,True,1.4042735695838928
LFW,lfw_04621,Calista Flockhart,0,FaceGuard,0.047058823529411764,35,0.125,-0.9038268327713013,33.057218473694526,0.8380930165635281,0.3832113444805145,True,-0.8660330772399902,-0.8344720602035522,-0.8971818685531616,True,1.4042735695838928
LFW,lfw_06976,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.8972423672676086,32.81739426451176,0.8675946266369499,0.17579351365566254,True,-0.8333513140678406,-0.7947065234184265,-0.8819798827171326,True,1.4042735695838928
LFW,lfw_02130,Brandon Boyd,0,FaceGuard,0.047058823529411764,35,0.125,-0.8644521236419678,33.01625737918751,0.8569375021222568,0.30376964807510376,True,-0.7880394458770752,-0.7801190614700317,-0.8394078612327576,True,1.4042735695838928
LFW,lfw_00614,Ted Williams,0,FaceGuard,0.047058823529411764,35,0.125,-0.9088025093078613,33.3817629128099,0.8719741082721976,0.290141761302948,True,-0.8602417707443237,-0.8426817059516907,-0.9048967957496643,True,1.4042735695838928
LFW,lfw_01100,Vanessa Incontrada,0,FaceGuard,0.047058823529411764,35,0.125,-0.8904232382774353,32.92075312688509,0.8637290176840922,0.3003065586090088,True,-0.8228284120559692,-0.7910683155059814,-0.8796705007553101,True,1.4042735695838928
LFW,lfw_07732,Pervez Musharraf,0,FaceGuard,0.047058823529411764,35,0.125,-0.917595624923706,32.90076279289286,0.9140198249481964,0.20400626957416534,True,-0.8797534108161926,-0.8398807048797607,-0.907516360282898,True,1.4042735695838928
LFW,lfw_09496,Hamid Karzai,0,FaceGuard,0.047058823529411764,35,0.125,-0.9171061515808105,33.16052609588829,0.8638191464162276,0.2596224546432495,True,-0.8818010687828064,-0.8679381012916565,-0.9147065877914429,True,1.4042735695838928
