dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,jpeg_cosine,blur_cosine,resize_cosine
LFW,lfw_07108,Joe Friedberg,0,FaceGuard,0.047058823529411764,35,0.125,-0.948511004447937,-0.9118971824645996,-0.8828316926956177,-0.9422920942306519
LFW,lfw_03731,Christopher Amolsch,0,FaceGuard,0.047058823529411764,35,0.125,-0.9466871023178101,-0.9310822486877441,-0.8676804304122925,-0.9385616779327393
LFW,lfw_07277,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9248011112213135,-0.8905657529830933,-0.8909481763839722,-0.9169727563858032
LFW,lfw_02032,Na Na Keum,0,FaceGuard,0.047058823529411764,35,0.125,-0.876673698425293,-0.8368164300918579,-0.8349730968475342,-0.8716021776199341
LFW,lfw_02352,George W Bush,0,FaceGuard,0.047058823529411764,35,0.125,-0.9336479306221008,-0.8836681842803955,-0.7796953916549683,-0.922832727432251
LFW,lfw_07365,Carla Del Ponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.906385064125061,-0.8626468181610107,-0.8353670835494995,-0.899107813835144
LFW,lfw_04017,Mary Bono,0,FaceGuard,0.047058823529411764,35,0.125,-0.9334491491317749,-0.8580212593078613,-0.8587473630905151,-0.9245352745056152
LFW,lfw_07059,Paul Bremer,0,FaceGuard,0.047058823529411764,35,0.125,-0.9313737154006958,-0.9019553661346436,-0.8675850629806519,-0.9176768064498901
LFW,lfw_12389,Paul Wolfowitz,0,FaceGuard,0.047058823529411764,35,0.125,-0.9109864234924316,-0.9032025337219238,-0.8758358359336853,-0.9124458432197571
LFW,lfw_03109,Tom Daschle,0,FaceGuard,0.047058823529411764,35,0.125,-0.8909592628479004,-0.821883499622345,-0.7750928401947021,-0.8816846609115601
LFW,lfw_11383,Michael Jackson,0,FaceGuard,0.047058823529411764,35,0.125,-0.8855044841766357,-0.7620571851730347,-0.7803739309310913,-0.8697154521942139
LFW,lfw_00012,John Cusack,0,FaceGuard,0.047058823529411764,35,0.125,-0.9379125237464905,-0.8948688507080078,-0.877259373664856,-0.9338304400444031
LFW,lfw_06212,Tony Blair,0,FaceGuard,0.047058823529411764,35,0.125,-0.9356788992881775,-0.8918266296386719,-0.8906409740447998,-0.9275204539299011
